gender,age,city,education_level,monthly_income,credit_score,loan_approved
female,22,Multan,Intermediate,23937,613,approved
male,59,Lahore,Intermediate,71208,606,approved
female,21,Multan,Intermediate,46966,657,rejected
male,37,Peshawar,Masters,57622,679,rejected
female,44,Islamabad,Masters,15000,708,approved
male,38,Karachi,Masters,25950,660,rejected
female,64,Islamabad,Bachelors,26668,671,rejected
female,56,Lahore,Intermediate,106975,590,rejected
female,41,Lahore,Bachelors,134317,654,approved
female,58,Karachi,Bachelors,41911,695,rejected
female,30,Islamabad,Masters,46927,375,rejected
female,21,Multan,Matric,134379,631,approved
female,37,Quetta,Masters,54747,677,rejected
male,44,Multan,Bachelors,94768,709,approved
female,40,Lahore,Intermediate,60960,599,rejected
female,29,Lahore,Bachelors,59049,693,approved
female,65,Lahore,Intermediate,48312,672,approved
female,35,Islamabad,Matric,39375,599,rejected
female,57,Islamabad,Intermediate,51449,742,approved
male,24,Islamabad,PhD,20054,514,approved
male,49,Lahore,Intermediate,50502,788,approved
female,56,Lahore,Bachelors,58076,759,approved
male,51,Lahore,Bachelors,15604,698,rejected
male,48,Multan,Masters,95949,613,approved
male,55,Lahore,Intermediate,15000,625,rejected
female,24,Quetta,Matric,27890,587,rejected
female,60,Lahore,Bachelors,60724,764,approved
male,29,Islamabad,Intermediate,38245,769,approved
male,57,Quetta,Matric,30112,808,rejected
male,31,Karachi,Bachelors,37167,663,rejected
female,63,Lahore,Masters,34176,505,rejected
male,42,Lahore,Bachelors,34139,562,rejected
female,26,Islamabad,Masters,15000,810,approved
male,48,Islamabad,Matric,24777,534,rejected
male,44,Peshawar,Masters,121927,713,approved
female,47,Quetta,Masters,25937,693,approved
female,47,Peshawar,Masters,103506,631,approved
female,50,Karachi,Masters,72652,478,rejected
male,53,Karachi,PhD,57621,657,approved
female,32,Islamabad,PhD,15000,521,rejected
female,28,Karachi,Bachelors,33410,848,approved
female,63,Lahore,Bachelors,199396,514,approved
female,53,Karachi,Bachelors,45246,693,rejected
female,32,Islamabad,Intermediate,35939,492,rejected
male,34,Islamabad,Masters,72481,548,approved
female,36,Islamabad,Intermediate,32632,501,rejected
female,33,Multan,Intermediate,45016,589,rejected
female,48,Lahore,Masters,78197,411,approved
male,50,Islamabad,PhD,64191,727,approved
male,56,Karachi,Intermediate,88637,533,approved
female,52,Islamabad,Intermediate,17836,608,rejected
male,35,Karachi,Intermediate,30176,566,approved
female,45,Peshawar,Bachelors,78133,718,approved
male,45,Peshawar,PhD,46658,490,rejected
male,48,Karachi,Intermediate,73952,589,rejected
female,55,Lahore,Intermediate,60632,431,rejected
male,45,Karachi,Bachelors,39939,578,approved
female,47,Karachi,Matric,15000,713,rejected
female,62,Lahore,Matric,32824,567,rejected
male,34,Karachi,Intermediate,42472,775,rejected
male,40,Lahore,Matric,37911,584,rejected
male,33,Lahore,Bachelors,68150,647,approved
male,57,Multan,Intermediate,47464,427,rejected
female,27,Karachi,Intermediate,25120,617,rejected
female,51,Karachi,Masters,63837,600,approved
male,50,Islamabad,Bachelors,39851,850,approved
male,43,Multan,Intermediate,131813,618,rejected
male,47,Karachi,Masters,77330,443,approved
male,65,Lahore,Bachelors,42482,630,approved
female,56,Karachi,Masters,34683,667,approved
female,65,Lahore,Intermediate,52494,741,approved
male,33,Karachi,Intermediate,37147,641,approved
male,29,Islamabad,Masters,35737,642,approved
female,37,Quetta,Bachelors,107078,746,approved
male,36,Lahore,Masters,65504,639,approved
female,49,Peshawar,Intermediate,63372,588,rejected
female,37,Islamabad,Intermediate,26893,609,rejected
male,35,Karachi,Intermediate,31728,622,rejected
female,33,Karachi,Bachelors,70894,638,approved
male,57,Quetta,Bachelors,51056,555,rejected
male,59,Lahore,Bachelors,38731,835,rejected
female,22,Quetta,Bachelors,34573,759,rejected
female,32,Quetta,Bachelors,104574,519,approved
male,52,Karachi,PhD,104364,662,approved
male,41,Lahore,Masters,123881,822,approved
male,54,Karachi,Masters,67912,621,approved
female,39,Karachi,Bachelors,22286,563,approved
female,56,Karachi,Intermediate,25205,579,rejected
male,51,Lahore,Bachelors,43678,415,rejected
male,47,Karachi,Masters,83502,609,approved
female,30,Karachi,Bachelors,39536,453,rejected
female,36,Islamabad,Intermediate,87161,657,rejected
female,30,Karachi,Matric,54222,759,approved
female,50,Lahore,Matric,126826,775,approved
female,46,Islamabad,Masters,118272,556,approved
female,55,Lahore,Matric,68664,786,approved
male,61,Multan,Matric,26265,707,approved
male,48,Lahore,Bachelors,60801,640,rejected
female,36,Karachi,Bachelors,31630,656,rejected
male,39,Islamabad,Intermediate,48631,657,approved
female,48,Multan,Bachelors,37135,649,rejected
female,22,Quetta,Bachelors,34963,684,approved
female,52,Peshawar,Masters,94065,643,rejected
female,64,Peshawar,Bachelors,37672,691,approved
male,47,Lahore,Matric,57953,403,rejected
male,51,Quetta,Intermediate,126557,577,rejected
male,64,Multan,PhD,42218,628,rejected
female,64,Karachi,Intermediate,69650,631,rejected
female,41,Quetta,Intermediate,16173,519,rejected
male,23,Karachi,Bachelors,19930,692,rejected
female,55,Karachi,Masters,25252,703,approved
female,23,Multan,Intermediate,48894,688,rejected
female,62,Karachi,Intermediate,28218,684,rejected
female,59,Quetta,Matric,39621,636,rejected
female,35,Karachi,Matric,23077,509,approved
male,36,Islamabad,Matric,34247,751,approved
male,25,Karachi,Masters,55294,379,approved
