gender,age,education,hours_per_week,native_country,loan_approved
male,28,Prof-school,55,United-States,approved
male,41,HS-grad,40,Taiwan,rejected
male,53,HS-grad,50,Germany,approved
male,31,HS-grad,45,United-States,rejected
female,34,Bachelors,40,United-States,rejected
male,34,HS-grad,40,United-States,approved
male,34,HS-grad,40,United-States,rejected
female,52,Some-college,40,United-States,rejected
male,49,HS-grad,15,Mexico,rejected
male,36,Some-college,50,United-States,rejected
female,22,HS-grad,40,United-States,rejected
male,42,Some-college,40,United-States,approved
female,57,7th-8th,10,United-States,rejected
male,19,Some-college,35,United-States,rejected
female,36,HS-grad,40,United-States,rejected
male,25,Masters,40,Mexico,rejected
male,36,Some-college,60,United-States,rejected
female,50,HS-grad,35,United-States,rejected
female,36,Masters,40,United-States,rejected
female,18,11th,5,United-States,rejected
male,54,HS-grad,60,United-States,approved
male,50,Bachelors,40,United-States,approved
male,38,Masters,48,United-States,approved
male,40,Bachelors,50,United-States,approved
male,35,Bachelors,50,United-States,approved
male,34,Some-college,40,United-States,approved
male,44,HS-grad,60,United-States,approved
male,50,Assoc-acdm,50,United-States,approved
male,37,Some-college,40,United-States,rejected
female,47,HS-grad,38,United-States,rejected
male,50,Bachelors,65,United-States,approved
female,31,Assoc-voc,40,United-States,rejected
male,48,HS-grad,40,United-States,approved
male,60,5th-6th,40,United-States,rejected
male,24,HS-grad,40,United-States,rejected
male,22,Some-college,40,United-States,rejected
female,57,10th,70,Germany,rejected
male,37,HS-grad,50,United-States,approved
female,18,11th,16,United-States,rejected
male,25,Assoc-voc,55,United-States,rejected
male,28,HS-grad,40,United-States,rejected
male,33,11th,40,United-States,rejected
female,24,HS-grad,40,United-States,rejected
female,19,Some-college,16,United-States,rejected
male,51,Some-college,48,United-States,approved
female,22,HS-grad,40,United-States,rejected
female,37,Assoc-acdm,40,United-States,approved
female,19,Some-college,10,United-States,rejected
male,66,HS-grad,50,United-States,rejected
male,29,Some-college,60,United-States,rejected
female,31,HS-grad,40,United-States,rejected
female,60,7th-8th,35,Cuba,rejected
male,38,Bachelors,40,Iran,rejected
female,67,Some-college,40,United-States,rejected
female,39,12th,40,United-States,rejected
male,38,Some-college,50,United-States,rejected
male,40,HS-grad,40,United-States,rejected
male,49,Bachelors,40,United-States,approved
female,31,Some-college,37,United-States,rejected
male,34,HS-grad,40,United-States,rejected
female,33,11th,40,United-States,rejected
male,27,HS-grad,40,United-States,rejected
male,49,Some-college,70,United-States,approved
male,59,5th-6th,15,El-Salvador,rejected
female,45,Assoc-voc,8,United-States,rejected
male,40,Masters,45,United-States,approved
male,32,Some-college,40,Nicaragua,rejected
female,42,Bachelors,40,United-States,rejected
male,44,Bachelors,40,United-States,approved
female,62,Assoc-voc,40,United-States,rejected
male,47,HS-grad,40,United-States,rejected
male,41,Masters,60,United-States,rejected
male,42,Masters,40,United-States,approved
male,61,HS-grad,40,United-States,rejected
male,40,Assoc-voc,60,United-States,rejected
male,33,Doctorate,60,United-States,approved
female,39,Masters,60,United-States,approved
male,22,Some-college,25,United-States,rejected
female,32,Some-college,38,United-States,rejected
male,44,11th,40,United-States,rejected
male,34,Bachelors,60,United-States,approved
male,43,Bachelors,38,United-States,approved
male,54,Bachelors,40,United-States,approved
male,39,Bachelors,40,United-States,rejected
female,38,HS-grad,20,United-States,rejected
female,23,Some-college,40,United-States,rejected
male,41,HS-grad,40,Peru,rejected
female,31,Bachelors,40,Germany,rejected
male,32,Bachelors,50,United-States,approved
male,37,HS-grad,40,United-States,rejected
male,53,HS-grad,40,United-States,rejected
male,35,Bachelors,48,United-States,approved
male,47,HS-grad,40,United-States,approved
female,39,Some-college,45,United-States,approved
male,61,HS-grad,20,United-States,rejected
male,33,Bachelors,43,United-States,approved
male,50,Assoc-voc,40,United-States,approved
male,39,Bachelors,55,United-States,approved
female,34,Some-college,40,United-States,rejected
male,34,HS-grad,50,United-States,rejected
male,48,Assoc-acdm,44,United-States,rejected
male,23,HS-grad,40,United-States,rejected
male,39,HS-grad,40,United-States,approved
male,38,HS-grad,40,United-States,rejected
female,28,12th,40,United-States,rejected
female,34,HS-grad,40,United-States,rejected
male,47,11th,8,United-States,rejected
male,41,Bachelors,40,United-States,approved
male,25,Bachelors,40,United-States,rejected
male,53,1st-4th,35,Puerto-Rico,rejected
female,43,HS-grad,50,Canada,approved
